user_id,report_date,tBalance,yBalance,total_purchase_amt,direct_purchase_amt,purchase_bal_amt,purchase_bank_amt,total_redeem_amt,consume_amt,transfer_amt,tftobal_amt,tftocard_amt,share_amt,category1,category2,category3,category4
1,20140805,20385,20383,2,0,0,0,0,0,0,0,0,2,0,0,0,0
1,20140718,20349,20347,2,0,0,0,0,0,0,0,0,2,0,0,0,0
1,20140802,20379,20377,2,0,0,0,0,0,0,0,0,2,0,0,0,0
2,20140805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20140610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20140805,10164,10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20140422,10164,0,10164,10164,0,10164,0,0,0,0,0,0,0,0,0,0
6,20140320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20140424,10165,10164,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6,20140427,10168,10167,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,20140805,0,149332,4435,4419,0,4419,153767,25756,128011,0,128011,16,0,0,0,25756
8,20140804,149400,150433,17,0,0,0,1050,1050,0,0,0,17,0,0,0,1050
8,20140801,151446,151430,16,0,0,0,0,0,0,0,0,16,0,0,0,0
8,20140729,151398,151382,16,0,0,0,0,0,0,0,0,16,0,0,0,0
11,20140805,161259,161242,17,0,0,0,0,0,0,0,0,17,0,0,0,0
11,20140722,201666,201648,18,0,0,0,0,0,0,0,0,18,0,0,0,0
11,20140812,346892,343230,9971,9950,0,9950,6309,0,6309,0,6309,21,0,0,0,0
28008,20140805,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28008,20140711,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28009,20140628,26389,0,26389,26389,0,26389,0,0,0,0,0,0,0,0,0,0
28009,20140823,554,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
